#Time	vx	vy	vz
93.230297314	-250.174004955233	-1.56358753096973	43.8921356908064
93.239073084	-252.855132127346	-1.48135048114323	24.0434578093149
93.247947284	-253.994697663486	-1.57760681778515	0.450744805082158
93.256921624	-253.166334181566	-1.5600038197811	-20.50290734569
93.261444974	-251.3623196608	-1.54752527495609	-36.4773814811201
93.270599774	-247.957301534212	-1.52925207994699	-55.0530748780809
93.275616884	-243.765881905296	-1.59454379005829	-71.3558346051461
93.279969524	-240.544001632114	-1.60822159639542	-81.5598095314249
93.284768654	-236.709619599722	-1.45859800809645	-92.1000456541192
93.289672494	-231.451270840811	-1.63137459623533	-104.611895983554
93.297243584	-224.670245893064	-1.58497527966895	-118.47690215525
93.306262254	-214.554965323039	-1.55233566641945	-135.940251930773
93.314330214	-202.405489464936	-1.48736428265728	-153.446415160803
93.323376624	-188.804198439404	-1.54757539704461	-169.901670375506
93.332134684	-173.21181635711	-1.59852698022334	-185.771671201725
93.340505084	-157.340226197183	-1.55309258964632	-199.393194778359
93.349466954	-139.36828118516	-1.56217448886441	-212.344146593562
93.357648764	-121.489025226573	-1.58889067197708	-223.055805873736
93.365452304	-103.798938636631	-1.53776205387606	-231.817629621809
93.370164454	-89.55581799796	-1.4855230473606	-237.683687577524
93.379247484	-71.7821662272395	-1.54133485763965	-243.641002854113
93.388165764	-51.5794872415889	-1.56981048126609	-248.702831960533
93.395078674	-30.6672454868162	-1.59122500167378	-252.136834356227
93.401294314	-14.9622492797613	-1.60884400857725	-253.553815751644
93.410094144	2.61368774636255	-1.4773017696823	-253.982265787725
93.419061554	26.7635745965497	-1.56120851813242	-252.581235254943
93.428106644	47.429062871369	-1.54780158554537	-249.527727041211
93.432710454	64.5118268424365	-1.52048076732971	-245.666249692917
93.439916684	79.2369165765708	-1.66522416623273	-241.318735423218
93.448022234	97.2173987066874	-1.48046800060952	-234.654178096599
93.456857884	115.667738422956	-1.58448956743807	-226.129296838614
93.462019824	130.764941977173	-1.54980671972998	-217.747844121992
93.467359544	142.142231374592	-1.49820533728077	-210.497849888064
